Project Name ▲,Sample ID,Source,Strategy,Selection,Layout,File Name,File Path,accession,experiment,instrument,run,spots,bases,size,published
Amazon Plume Metagenomes,SAMN02628420,METAGENOMIC,WGS,RANDOM,paired,SRR1202090_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1202090_2.fastq.gz,SRR1202090,SRX498866,Illumina Genome Analyzer IIx,SRR1202090,"263,173",79.5M,47.8Mb,3/24/14
Amazon Plume Metagenomes,SAMN02628422,METAGENOMIC,WGS,RANDOM,paired,SRR1202091_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1202091_1.fastq.gz,SRR1202091,SRX498867,Illumina Genome Analyzer IIx,SRR1202091,"4,217,191",1.3G,749.4Mb,3/24/14
Amazon Plume Metagenomes,SAMN02628422,METAGENOMIC,WGS,RANDOM,paired,SRR1202091_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1202091_2.fastq.gz,SRR1202091,SRX498867,Illumina Genome Analyzer IIx,SRR1202091,"4,217,191",1.3G,749.4Mb,3/24/14
Amazon Plume Metagenomes,SAMN02628424,METAGENOMIC,WGS,RANDOM,paired,SRR1183650_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1183650_1.fastq.gz,SRR1183650,SRX481234,Illumina Genome Analyzer IIx,SRR1183650,"6,327,144",1.9G,1.1Gb,7/22/15
Amazon Plume Metagenomes,SAMN02628424,METAGENOMIC,WGS,RANDOM,paired,SRR1183650_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1183650_2.fastq.gz,SRR1183650,SRX481234,Illumina Genome Analyzer IIx,SRR1183650,"6,327,144",1.9G,1.1Gb,7/22/15
Amazon Plume Metagenomes,SAMN05944580,METAGENOMIC,WGS,RANDOM,paired,SRR4831650_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831650_1.fastq.gz,SRR4831650,SRX2319966,Illumina HiSeq 2500,SRR4831650,"11,753,220",3.5G,2Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944580,METAGENOMIC,WGS,RANDOM,paired,SRR4831650_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831650_2.fastq.gz,SRR4831650,SRX2319966,Illumina HiSeq 2500,SRR4831650,"11,753,220",3.5G,2Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944582,METAGENOMIC,WGS,RANDOM,paired,SRR4831648_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831648_1.fastq.gz,SRR4831648,SRX2319964,Illumina HiSeq 2500,SRR4831648,"16,415,572",4.9G,2.8Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944582,METAGENOMIC,WGS,RANDOM,paired,SRR4831648_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831648_2.fastq.gz,SRR4831648,SRX2319964,Illumina HiSeq 2500,SRR4831648,"16,415,572",4.9G,2.8Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944584,METAGENOMIC,WGS,RANDOM,paired,SRR4831658_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831658_1.fastq.gz,SRR4831658,SRX2319974,Illumina HiSeq 2500,SRR4831658,"406,852",122.1M,82.5Mb,11/9/16
Amazon Plume Metagenomes,SAMN05944584,METAGENOMIC,WGS,RANDOM,paired,SRR4831658_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831658_2.fastq.gz,SRR4831658,SRX2319974,Illumina HiSeq 2500,SRR4831658,"406,852",122.1M,82.5Mb,11/9/16
Amazon Plume Metagenomes,SAMN05944587,METAGENOMIC,WGS,RANDOM,single,SRR4831661.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831661.fastq.gz,SRR4831661,SRX2319977,Illumina HiSeq 2500,SRR4831661,"3,891,471",972.9M,548.9Mb,11/9/16
Amazon Plume Metagenomes,SAMN05944590,METAGENOMIC,WGS,RANDOM,single,SRR4831662.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831662.fastq.gz,SRR4831662,SRX2319978,Illumina HiSeq 2500,SRR4831662,"10,555,642",2.6G,1.4Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944591,METAGENOMIC,WGS,RANDOM,single,SRR4831663.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831663.fastq.gz,SRR4831663,SRX2319979,Illumina HiSeq 2500,SRR4831663,"1,422,585",355.6M,200Mb,11/9/16
Amazon Plume Metagenomes,SAMN05944592,METAGENOMIC,WGS,RANDOM,single,SRR4831664.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831664.fastq.gz,SRR4831664,SRX2319980,Illumina HiSeq 2500,SRR4831664,"21,455,577",5.4G,2.9Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944594,METAGENOMIC,WGS,RANDOM,single,SRR4831666.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831666.fastq.gz,SRR4831666,SRX2319982,Illumina HiSeq 2500,SRR4831666,"14,289,517",3.6G,2Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944596,METAGENOMIC,WGS,RANDOM,single,SRR4831655.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831655.fastq.gz,SRR4831655,SRX2319971,Illumina HiSeq 2500,SRR4831655,"19,046,266",4.8G,2.6Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944598,METAGENOMIC,WGS,RANDOM,single,SRR4831657.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831657.fastq.gz,SRR4831657,SRX2319973,Illumina HiSeq 2500,SRR4831657,"15,460,964",3.9G,2.1Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944600,METAGENOMIC,WGS,RANDOM,paired,SRR4831646_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831646_1.fastq.gz,SRR4831646,SRX2319962,Illumina HiSeq 2500,SRR4831646,"7,523,737",2.3G,938.4Mb,11/9/16
Amazon Plume Metagenomes,SAMN05944602,METAGENOMIC,WGS,RANDOM,paired,SRR4831644_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831644_1.fastq.gz,SRR4831644,SRX2319960,Illumina HiSeq 2500,SRR4831644,"12,104,433",3.6G,1.5Gb,11/9/16
Amazon Plume Metagenomes,SAMN05944602,METAGENOMIC,WGS,RANDOM,paired,SRR4831644_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4831644_2.fastq.gz,SRR4831644,SRX2319960,Illumina HiSeq 2500,SRR4831644,"12,104,433",3.6G,1.5Gb,11/9/16
Amazon River Metagenomes,SAMN03252801,METAGENOMIC,WGS,RANDOM,paired,SRR1786279_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1786279_1.fastq.gz,SRR1786279,SRX864952,Illumina HiSeq 2500,SRR1786279,"14,458,013",4.3G,1.8Gb,7/30/15
Amazon River Metagenomes,SAMN03252801,METAGENOMIC,WGS,RANDOM,paired,SRR1786279_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1786279_2.fastq.gz,SRR1786279,SRX864952,Illumina HiSeq 2500,SRR1786279,"14,458,013",4.3G,1.8Gb,7/30/15
Amazon River Metagenomes,SAMN03252803,METAGENOMIC,WGS,RANDOM,paired,SRR1786608_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1786608_1.fastq.gz,SRR1786608,SRX865120,Illumina HiSeq 2500,SRR1786608,"7,062,334",2.1G,1.3Gb,7/31/15
Amazon River Metagenomes,SAMN03252803,METAGENOMIC,WGS,RANDOM,paired,SRR1786608_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1786608_2.fastq.gz,SRR1786608,SRX865120,Illumina HiSeq 2500,SRR1786608,"7,062,334",2.1G,1.3Gb,7/31/15
Amazon River Metagenomes,SAMN03252805,METAGENOMIC,WGS,RANDOM,paired,SRR1787940_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1787940_1.fastq.gz,SRR1787940,SRX865473,Illumina HiSeq 2500,SRR1787940,"20,124,328",6G,2.3Gb,7/31/15
Amazon River Metagenomes,SAMN03252805,METAGENOMIC,WGS,RANDOM,paired,SRR1787940_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1787940_2.fastq.gz,SRR1787940,SRX865473,Illumina HiSeq 2500,SRR1787940,"20,124,328",6G,2.3Gb,7/31/15
Amazon River Metagenomes,SAMN03252807,METAGENOMIC,WGS,RANDOM,paired,SRR1788318_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1788318_1.fastq.gz,SRR1788318,SRX865668,Illumina HiSeq 2500,SRR1788318,"35,168,240",10.6G,6.7Gb,7/31/15
Amazon River Metagenomes,SAMN03252807,METAGENOMIC,WGS,RANDOM,paired,SRR1788318_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1788318_2.fastq.gz,SRR1788318,SRX865668,Illumina HiSeq 2500,SRR1788318,"35,168,240",10.6G,6.7Gb,7/31/15
Amazon River Metagenomes,SAMN03252809,METAGENOMIC,WGS,RANDOM,paired,SRR1790489_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1790489_1.fastq.gz,SRR1790489,SRX866353,Illumina HiSeq 2500,SRR1790489,"8,960,746",2.7G,1.7Gb,7/31/15
Amazon River Metagenomes,SAMN03252809,METAGENOMIC,WGS,RANDOM,paired,SRR1790489_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1790489_2.fastq.gz,SRR1790489,SRX866353,Illumina HiSeq 2500,SRR1790489,"8,960,746",2.7G,1.7Gb,7/31/15
Amazon River Metagenomes,SAMN03252811,METAGENOMIC,WGS,RANDOM,paired,SRR1790646_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1790646_1.fastq.gz,SRR1790646,SRX866600,Illumina HiSeq 2500,SRR1790646,"10,154,480",3G,1.8Gb,7/31/15
Amazon River Metagenomes,SAMN03252811,METAGENOMIC,WGS,RANDOM,paired,SRR1790646_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1790646_2.fastq.gz,SRR1790646,SRX866600,Illumina HiSeq 2500,SRR1790646,"10,154,480",3G,1.8Gb,7/31/15
Amazon River Metagenomes,SAMN03252813,METAGENOMIC,WGS,RANDOM,paired,SRR1790676_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1790676_1.fastq.gz,SRR1790676,SRX866630,Illumina HiSeq 2500,SRR1790676,"30,212,843",9.1G,5.7Gb,7/31/15
Amazon River Metagenomes,SAMN03252813,METAGENOMIC,WGS,RANDOM,paired,SRR1790676_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1790676_2.fastq.gz,SRR1790676,SRX866630,Illumina HiSeq 2500,SRR1790676,"30,212,843",9.1G,5.7Gb,7/31/15
Amazon River Metagenomes,SAMN03252815,METAGENOMIC,WGS,RANDOM,paired,SRR1790679_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1790679_1.fastq.gz,SRR1790679,SRX866632,Illumina HiSeq 2500,SRR1790679,"10,896,624",3.3G,1.9Gb,7/31/15
Amazon River Metagenomes,SAMN03252815,METAGENOMIC,WGS,RANDOM,paired,SRR1790679_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1790679_2.fastq.gz,SRR1790679,SRX866632,Illumina HiSeq 2500,SRR1790679,"10,896,624",3.3G,1.9Gb,7/31/15
Amazon River Metagenomes,SAMN03252817,METAGENOMIC,WGS,RANDOM,paired,SRR1792674_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1792674_1.fastq.gz,SRR1792674,SRX868336,Illumina HiSeq 2500,SRR1792674,"8,421,219",2.5G,1.5Gb,7/31/15
Amazon River Metagenomes,SAMN03252817,METAGENOMIC,WGS,RANDOM,paired,SRR1792674_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1792674_2.fastq.gz,SRR1792674,SRX868336,Illumina HiSeq 2500,SRR1792674,"8,421,219",2.5G,1.5Gb,7/31/15
Amazon River Metagenomes,SAMN03252819,METAGENOMIC,WGS,RANDOM,paired,SRR1793861_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1793861_1.fastq.gz,SRR1793861,SRX869280,Illumina HiSeq 2500,SRR1793861,"8,244,737",2.5G,970.7Mb,7/31/15
Amazon River Metagenomes,SAMN03252819,METAGENOMIC,WGS,RANDOM,paired,SRR1793861_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1793861_2.fastq.gz,SRR1793861,SRX869280,Illumina HiSeq 2500,SRR1793861,"8,244,737",2.5G,970.7Mb,7/31/15
Amazon River Metagenomes,SAMN03252821,METAGENOMIC,WGS,RANDOM,paired,SRR1796116_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1796116_1.fastq.gz,SRR1796116,SRX871251,Illumina HiSeq 2500,SRR1796116,"31,514,623",9.5G,3.6Gb,7/31/15
Amazon River Metagenomes,SAMN03252821,METAGENOMIC,WGS,RANDOM,paired,SRR1796116_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1796116_2.fastq.gz,SRR1796116,SRX871251,Illumina HiSeq 2500,SRR1796116,"31,514,623",9.5G,3.6Gb,7/31/15
Amazon River Metagenomes,SAMN03252823,METAGENOMIC,WGS,RANDOM,paired,SRR1796234_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1796234_1.fastq.gz,SRR1796234,SRX871335,Illumina HiSeq 2500,SRR1796234,"8,030,484",2.4G,1.4Gb,7/31/15
Amazon River Metagenomes,SAMN03252823,METAGENOMIC,WGS,RANDOM,paired,SRR1796234_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1796234_2.fastq.gz,SRR1796234,SRX871335,Illumina HiSeq 2500,SRR1796234,"8,030,484",2.4G,1.4Gb,7/31/15
Amazon River Metagenomes,SAMN05944719,METAGENOMIC,WGS,RANDOM,single,SRR4833087.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833087.fastq.gz,SRR4833087,SRX2320287,Illumina HiSeq 2500,SRR4833087,"14,935,762",3.7G,2Gb,11/9/16
Amazon River Metagenomes,SAMN05944721,METAGENOMIC,WGS,RANDOM,single,SRR4833077.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833077.fastq.gz,SRR4833077,SRX2320246,Illumina HiSeq 2500,SRR4833077,"16,364,409",4.1G,2.3Gb,11/9/16
Amazon River Metagenomes,SAMN05944723,METAGENOMIC,WGS,RANDOM,single,SRR4833081.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833081.fastq.gz,SRR4833081,SRX2320264,Illumina HiSeq 2500,SRR4833081,"8,665,612",2.2G,1.2Gb,11/9/16
Amazon River Metagenomes,SAMN05944725,METAGENOMIC,WGS,RANDOM,single,SRR5123277.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5123277.fastq.gz,SRR5123277,SRX2438288,Illumina HiSeq 2500,SRR5123277,"28,661,790",7.2G,4.1Gb,12/26/16
Amazon River Metagenomes,SAMN05944728,METAGENOMIC,WGS,RANDOM,single,SRR4833064.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833064.fastq.gz,SRR4833064,SRX2320212,Illumina HiSeq 2500,SRR4833064,"15,732,375",3.9G,2.1Gb,11/9/16
Amazon River Metagenomes,SAMN05944729,METAGENOMIC,WGS,RANDOM,single,SRR4833056.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833056.fastq.gz,SRR4833056,SRX2320184,Illumina HiSeq 2500,SRR4833056,"21,985,675",5.5G,3Gb,11/9/16
Amazon River Metagenomes,SAMN05944731,METAGENOMIC,WGS,RANDOM,single,SRR5123275.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5123275.fastq.gz,SRR5123275,SRX2438286,Illumina HiSeq 2500,SRR5123275,"33,555,784",8.4G,4.7Gb,12/26/16
Amazon River Metagenomes,SAMN05944733,METAGENOMIC,WGS,RANDOM,single,SRR5123274.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5123274.fastq.gz,SRR5123274,SRX2438285,Illumina HiSeq 2500,SRR5123274,"19,595,428",4.9G,2.7Gb,12/26/16
Amazon River Metagenomes,SAMN05944735,METAGENOMIC,WGS,RANDOM,paired,SRR4833073_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833073_1.fastq.gz,SRR4833073,SRX2320236,Illumina HiSeq 2500,SRR4833073,"31,319",9.4M,7.1Mb,11/9/16
Amazon River Metagenomes,SAMN05944735,METAGENOMIC,WGS,RANDOM,paired,SRR4833073_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833073_2.fastq.gz,SRR4833073,SRX2320236,Illumina HiSeq 2500,SRR4833073,"31,319",9.4M,7.1Mb,11/9/16
Amazon River Metagenomes,SAMN05944736,METAGENOMIC,WGS,RANDOM,paired,SRR4833062_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833062_1.fastq.gz,SRR4833062,SRX2320207,Illumina HiSeq 2500,SRR4833062,"53,773",16.1M,12Mb,11/9/16
Amazon River Metagenomes,SAMN05944736,METAGENOMIC,WGS,RANDOM,paired,SRR4833062_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833062_2.fastq.gz,SRR4833062,SRX2320207,Illumina HiSeq 2500,SRR4833062,"53,773",16.1M,12Mb,11/9/16
Amazon River Metagenomes,SAMN05944739,METAGENOMIC,WGS,RANDOM,single,SRR4833053.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833053.fastq.gz,SRR4833053,SRX2320169,Illumina HiSeq 2500,SRR4833053,"19,392,134",4.8G,2.6Gb,11/9/16
Amazon River Metagenomes,SAMN05944741,METAGENOMIC,WGS,RANDOM,single,SRR4833084.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR4833084.fastq.gz,SRR4833084,SRX2320273,Illumina HiSeq 2500,SRR4833084,"14,690,598",3.7G,2Gb,11/9/16
BATS Chisholm,SAMN07137064,METAGENOMIC,WGS,RANDOM,paired,SRR5720327_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720327_1.fastq.gz,SRR5720327,SRX2937227,NextSeq 550,SRR5720327,"27,210,818",8.2G,3.2Gb,5/1/18
BATS Chisholm,SAMN07137064,METAGENOMIC,WGS,RANDOM,paired,SRR5720327_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720327_2.fastq.gz,SRR5720327,SRX2937227,NextSeq 550,SRR5720327,"27,210,818",8.2G,3.2Gb,5/1/18
BATS Chisholm,SAMN07137065,METAGENOMIC,WGS,RANDOM,paired,SRR5720326_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720326_1.fastq.gz,SRR5720326,SRX2937228,NextSeq 550,SRR5720326,"37,828,867",11.3G,4.5Gb,5/1/18
BATS Chisholm,SAMN07137065,METAGENOMIC,WGS,RANDOM,paired,SRR5720326_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720326_2.fastq.gz,SRR5720326,SRX2937228,NextSeq 550,SRR5720326,"37,828,867",11.3G,4.5Gb,5/1/18
BATS Chisholm,SAMN07137066,METAGENOMIC,WGS,RANDOM,paired,SRR5720333_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720333_1.fastq.gz,SRR5720333,SRX2937221,NextSeq 550,SRR5720333,"27,382,064",8.2G,3.3Gb,5/1/18
BATS Chisholm,SAMN07137066,METAGENOMIC,WGS,RANDOM,paired,SRR5720333_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720333_2.fastq.gz,SRR5720333,SRX2937221,NextSeq 550,SRR5720333,"27,382,064",8.2G,3.3Gb,5/1/18
BATS Chisholm,SAMN07137067,METAGENOMIC,WGS,RANDOM,paired,SRR5720332_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720332_1.fastq.gz,SRR5720332,SRX2937222,NextSeq 550,SRR5720332,"22,197,442",6.7G,2.7Gb,5/1/18
BATS Chisholm,SAMN07137067,METAGENOMIC,WGS,RANDOM,paired,SRR5720332_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720332_2.fastq.gz,SRR5720332,SRX2937222,NextSeq 550,SRR5720332,"22,197,442",6.7G,2.7Gb,5/1/18
BATS Chisholm,SAMN07137068,METAGENOMIC,WGS,RANDOM,paired,SRR5720340_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720340_1.fastq.gz,SRR5720340,SRX2937214,NextSeq 550,SRR5720340,"22,703,083",6.8G,2.8Gb,5/1/18
BATS Chisholm,SAMN07137068,METAGENOMIC,WGS,RANDOM,paired,SRR5720340_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720340_2.fastq.gz,SRR5720340,SRX2937214,NextSeq 550,SRR5720340,"22,703,083",6.8G,2.8Gb,5/1/18
BATS Chisholm,SAMN07137069,METAGENOMIC,WGS,RANDOM,paired,SRR5720341_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720341_1.fastq.gz,SRR5720341,SRX2937213,NextSeq 550,SRR5720341,"30,123,808",9G,3.9Gb,5/1/18
BATS Chisholm,SAMN07137069,METAGENOMIC,WGS,RANDOM,paired,SRR5720341_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720341_2.fastq.gz,SRR5720341,SRX2937213,NextSeq 550,SRR5720341,"30,123,808",9G,3.9Gb,5/1/18
BATS Chisholm,SAMN07137070,METAGENOMIC,WGS,RANDOM,paired,SRR5720338_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR5720338_1.fastq.gz,SRR5720338,SRX2937216,NextSeq 550,SRR5720338,"36,979,656",11.1G,4.5Gb,5/1/18
